trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 1.0}",20,0,-195.07182921841633,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
2,False,"{'a': 0.785, 'e': 0.9998875021093592}",25,0,-97.0608759190533,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
3,False,"{'a': 0.77, 'e': 0.9995500337489875}",20,0,-43.07886768311903,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.755, 'e': 0.9989876708478425}",25,0,-28.209369081968138,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
5,False,"{'a': 0.74, 'e': 0.9982005399352042}",20,0,-73.46392287000741,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.7250000000000001, 'e': 0.9971888181122075}",20,0,-42.060394525901515,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
7,False,"{'a': 0.7100000000000001, 'e': 0.9959527330119943}",25,0,-91.39267596020863,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.6950000000000001, 'e': 0.9944925627484974}",25,0,-125.01020991690324,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
9,False,"{'a': 0.68, 'e': 0.9928086358538663}",30,0,-128.1386214536823,"{0: 19, 1: 1, 2: 7, 3: 2, 4: 1}",0
10,False,"{'a': 0.665, 'e': 0.9909013312045479}",20,0,-142.39519916467893,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.65, 'e': 0.9887710779360422}",35,0,-285.2478419348736,"{0: 19, 1: 3, 2: 7, 3: 1, 4: 5}",0
12,False,"{'a': 0.635, 'e': 0.9864183553463477}",20,0,-122.06213568912086,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
13,False,"{'a': 0.6200000000000001, 'e': 0.9838436927881214}",20,0,-56.249344252765454,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0.605, 'e': 0.9810476695495772}",25,0,-111.24682249852206,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
15,False,"{'a': 0.5900000000000001, 'e': 0.9780309147241483}",20,0,-214.0529827409676,"{0: 8, 1: 3, 2: 3, 3: 3, 4: 3}",0
16,False,"{'a': 0.5750000000000001, 'e': 0.9747941070689433}",30,0,-170.48779367927133,"{0: 16, 1: 5, 2: 6, 3: 1, 4: 2}",0
17,False,"{'a': 0.56, 'e': 0.9713379748520296}",20,0,-114.74627262765208,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
18,False,"{'a': 0.545, 'e': 0.9676632956885756}",35,0,-171.03196189698718,"{0: 21, 1: 5, 2: 5, 3: 2, 4: 2}",0
19,False,"{'a': 0.53, 'e': 0.9637708963658905}",25,0,-99.03586420797228,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
20,False,"{'a': 0.5150000000000001, 'e': 0.9596616526574011}",20,0,-126.52593824127614,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.955336489125606}",35,0,-195.59387662390344,"{0: 20, 1: 1, 2: 10, 3: 2, 4: 2}",0
22,False,"{'a': 0.48500000000000004, 'e': 0.9507963789140532}",25,0,-209.74851360571654,"{0: 9, 1: 5, 2: 7, 3: 2, 4: 2}",0
23,False,"{'a': 0.4700000000000001, 'e': 0.946042343528387}",25,0,-220.40144044932853,"{0: 11, 1: 2, 2: 8, 3: 1, 4: 3}",0
24,False,"{'a': 0.45500000000000007, 'e': 0.941075452606513}",20,0,-37.74708525571286,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
25,False,"{'a': 0.44000000000000006, 'e': 0.9358968236779348}",20,0,-110.02920545922524,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
26,False,"{'a': 0.42500000000000004, 'e': 0.9305076219123143}",20,0,-117.86086012077118,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
27,False,"{'a': 0.41000000000000003, 'e': 0.9249090598573131}",30,0,-120.74193260172923,"{0: 18, 1: 2, 2: 7, 3: 3, 4: 0}",0
28,False,"{'a': 0.3950000000000001, 'e': 0.9191023971657747}",35,0,-101.6739980639899,"{0: 24, 1: 6, 2: 2, 3: 2, 4: 1}",0
29,False,"{'a': 0.38000000000000006, 'e': 0.9130889403123083}",20,3,-195.7804339976688,"{0: 6, 1: 1, 2: 6, 3: 1, 4: 3}",1
30,False,"{'a': 0.36500000000000005, 'e': 0.9068700422993367}",25,20,6.531360804091916,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.3500000000000001, 'e': 0.9004471023526769}",25,0,-128.32295690536841,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
32,False,"{'a': 0.3350000000000001, 'e': 0.8938215656067205}",20,2,-57.72026775115354,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 1}",1
33,False,"{'a': 0.32000000000000006, 'e': 0.8869949227792842}",25,3,-101.2777110664759,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 3}",1
34,False,"{'a': 0.30500000000000005, 'e': 0.8799687098362042}",30,0,-140.763327892478,"{0: 19, 1: 6, 2: 1, 3: 2, 4: 2}",0
35,False,"{'a': 0.3, 'e': 0.8727445076457513}",30,0,-163.71268635339015,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
