trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 1.0}",20,0,-100.13539541096753,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
2,False,"{'a': 0.79, 'e': 0.98}",20,0,-66.35293381860004,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.78, 'e': 0.9603999999999999}",25,0,-161.845571597732,"{0: 11, 1: 3, 2: 8, 3: 2, 4: 1}",0
4,False,"{'a': 0.77, 'e': 0.9411919999999999}",20,0,-203.61809154013895,"{0: 9, 1: 0, 2: 7, 3: 1, 4: 3}",0
5,False,"{'a': 0.76, 'e': 0.9223681599999999}",20,0,-88.8543818321407,"{0: 9, 1: 4, 2: 6, 3: 1, 4: 0}",0
6,False,"{'a': 0.75, 'e': 0.9039207967999999}",20,0,-59.15845308650399,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",1
7,False,"{'a': 0.74, 'e': 0.8858423808639999}",20,0,-62.335469241331815,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
8,False,"{'a': 0.73, 'e': 0.8681255332467199}",25,0,-181.81838837047684,"{0: 10, 1: 5, 2: 7, 3: 1, 4: 2}",0
9,False,"{'a': 0.7200000000000001, 'e': 0.8507630225817855}",20,0,-139.44448520545092,"{0: 10, 1: 2, 2: 4, 3: 3, 4: 1}",0
10,False,"{'a': 0.7100000000000001, 'e': 0.8337477621301498}",20,0,-34.79453618257729,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.7000000000000001, 'e': 0.8170728068875467}",20,0,-93.82592851354039,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
12,False,"{'a': 0.6900000000000001, 'e': 0.8007313507497958}",25,11,-78.06104234986088,"{0: 9, 1: 0, 2: 3, 3: 1, 4: 1}",1
13,False,"{'a': 0.68, 'e': 0.7847167237347998}",20,0,-81.9958755530893,"{0: 12, 1: 5, 2: 1, 3: 1, 4: 1}",0
14,False,"{'a': 0.67, 'e': 0.7690223892601039}",30,4,-64.96925564589516,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 1}",1
15,False,"{'a': 0.66, 'e': 0.7536419414749017}",20,2,-132.0566557676785,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 3}",1
16,False,"{'a': 0.65, 'e': 0.7385691026454038}",25,0,-179.85938695787127,"{0: 11, 1: 6, 2: 4, 3: 2, 4: 2}",0
17,False,"{'a': 0.64, 'e': 0.7237977205924956}",20,0,-69.38625970710677,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.63, 'e': 0.7093217661806457}",20,0,-20.327124170445874,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
19,False,"{'a': 0.6200000000000001, 'e': 0.6951353308570328}",30,0,-55.84149362887126,"{0: 22, 1: 5, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.6100000000000001, 'e': 0.6812326242398921}",25,0,-52.26244813593928,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
21,False,"{'a': 0.6000000000000001, 'e': 0.6676079717550942}",20,2,-82.39168743434328,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 2}",1
22,False,"{'a': 0.5900000000000001, 'e': 0.6542558123199923}",20,3,2.967076487555378,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
23,False,"{'a': 0.5800000000000001, 'e': 0.6411706960735924}",20,14,-2.3550294996314842,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.5700000000000001, 'e': 0.6283472821521207}",25,14,-23.276856427433014,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
25,False,"{'a': 0.56, 'e': 0.6157803365090782}",25,0,-83.63747270913144,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
26,False,"{'a': 0.55, 'e': 0.6034647297788966}",20,0,-36.948233362813504,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
27,False,"{'a': 0.54, 'e': 0.5913954351833187}",25,0,-85.47399269228656,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
28,False,"{'a': 0.53, 'e': 0.5795675264796523}",35,18,-22.840683181747416,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
29,False,"{'a': 0.52, 'e': 0.5679761759500592}",25,0,-28.583114300119927,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
30,False,"{'a': 0.51, 'e': 0.5566166524310581}",25,0,-119.97818168862044,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.5454843193824369}",35,16,-50.21113959998363,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 0}",1
32,False,"{'a': 0.49000000000000005, 'e': 0.5345746329947881}",25,0,-90.17307215635888,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
33,False,"{'a': 0.48000000000000004, 'e': 0.5238831403348924}",30,16,-26.963934592920005,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 0}",1
34,False,"{'a': 0.47000000000000003, 'e': 0.5134054775281945}",30,0,-38.96094094642447,"{0: 24, 1: 5, 2: 0, 3: 0, 4: 1}",0
35,False,"{'a': 0.46, 'e': 0.5031373679776306}",25,0,-74.54660396300545,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 2}",0
36,False,"{'a': 0.45, 'e': 0.493074620618078}",25,0,-72.83241857338561,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
37,False,"{'a': 0.44000000000000006, 'e': 0.48321312820571644}",20,0,-65.9802942347223,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
38,False,"{'a': 0.43000000000000005, 'e': 0.4735488656416021}",20,0,-64.05171184359945,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
39,False,"{'a': 0.42000000000000004, 'e': 0.46407788832877006}",25,1,-51.36455533205739,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 1}",1
40,False,"{'a': 0.41000000000000003, 'e': 0.4547963305621946}",25,10,-7.980295032133061,"{0: 12, 1: 2, 2: 0, 3: 1, 4: 0}",1
41,False,"{'a': 0.4, 'e': 0.44570040395095073}",20,9,-13.626383986935931,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
42,False,"{'a': 0.39, 'e': 0.4367863958719317}",25,0,-53.00848513223034,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
43,False,"{'a': 0.38000000000000006, 'e': 0.42805066795449304}",25,0,-90.67434491336603,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
44,False,"{'a': 0.37000000000000005, 'e': 0.41948965459540316}",20,0,9.44214733823032,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
45,False,"{'a': 0.36000000000000004, 'e': 0.4110998615034951}",20,0,-94.38750116367865,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
46,False,"{'a': 0.35000000000000003, 'e': 0.4028778642734252}",20,0,-52.97804357785064,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 1}",0
47,False,"{'a': 0.34, 'e': 0.3948203069879567}",20,3,15.901665000267197,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.33, 'e': 0.38692390084819756}",20,3,-102.10139718791068,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 2}",1
49,False,"{'a': 0.32000000000000006, 'e': 0.3791854228312336}",30,4,-168.8883089106692,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 4}",1
50,False,"{'a': 0.31000000000000005, 'e': 0.3716017143746089}",25,10,8.734493358757568,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.30000000000000004, 'e': 0.36416968008711675}",20,6,-49.60208300829856,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
52,False,"{'a': 0.29000000000000004, 'e': 0.3568862864853744}",20,0,15.013343776705913,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
53,False,"{'a': 0.28, 'e': 0.3497485607556669}",30,3,-93.78800954267837,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 2}",1
54,False,"{'a': 0.27, 'e': 0.34275358954055357}",20,0,-76.8081582074227,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
55,False,"{'a': 0.26, 'e': 0.3358985177497425}",20,8,-18.97366302920753,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
56,False,"{'a': 0.25, 'e': 0.3291805473947476}",20,6,-69.74634325773924,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 2}",1
57,False,"{'a': 0.24, 'e': 0.32259693644685267}",35,2,9.994059751144208,"{0: 30, 1: 0, 2: 3, 3: 0, 4: 0}",1
58,False,"{'a': 0.22999999999999998, 'e': 0.3161449977179156}",30,21,13.335531671838005,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.22000000000000008, 'e': 0.3098220977635573}",25,12,-2.789251395641668,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
60,False,"{'a': 0.21000000000000008, 'e': 0.30362565580828615}",30,4,18.913422951303936,"{0: 24, 1: 0, 2: 2, 3: 0, 4: 0}",1
61,False,"{'a': 0.20000000000000007, 'e': 0.2975531426921204}",30,12,-42.200936702557335,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 0}",1
62,False,"{'a': 0.19000000000000006, 'e': 0.291602079838278}",20,9,-73.74803298518493,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 1}",1
63,False,"{'a': 0.18000000000000005, 'e': 0.2857700382415124}",20,9,18.18597644963242,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.17000000000000004, 'e': 0.2800546374766822}",20,11,6.553405403236551,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.16000000000000003, 'e': 0.2744535447271485}",30,10,30.85337308255689,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.15000000000000002, 'e': 0.2689644738326056}",30,24,10.781827844198453,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.14, 'e': 0.26358518435595346}",20,6,4.692615664556536,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
68,False,"{'a': 0.13, 'e': 0.25831348066883436}",20,6,-25.123158607863722,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
69,False,"{'a': 0.12, 'e': 0.2531472110554577}",25,13,7.357575133337341,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.10999999999999999, 'e': 0.2480842668343485}",20,16,7.379508593494961,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.1, 'e': 0.24312258149766153}",20,2,11.862562442825944,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.1, 'e': 0.2382601298677083}",30,2,-24.03319784134823,"{0: 23, 1: 0, 2: 4, 3: 1, 4: 0}",1
73,False,"{'a': 0.1, 'e': 0.23349492727035415}",20,0,11.03661466995195,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
74,False,"{'a': 0.1, 'e': 0.22882502872494706}",20,0,-77.75414887077396,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
75,False,"{'a': 0.1, 'e': 0.2242485281504481}",20,0,20.88175341796029,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
76,False,"{'a': 0.1, 'e': 0.21976355758743912}",25,7,30.452321197059902,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.1, 'e': 0.21536828643569034}",20,0,11.267303035677697,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
78,False,"{'a': 0.1, 'e': 0.21106092070697655}",20,0,-28.735966804767337,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
79,False,"{'a': 0.1, 'e': 0.206839702292837}",20,8,20.578716536494294,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.1, 'e': 0.20270290824698026}",35,24,21.921161816408826,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.1, 'e': 0.19864885008204064}",25,0,-8.09164639527469,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
82,False,"{'a': 0.1, 'e': 0.19467587308039982}",20,8,19.60826210564941,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.1, 'e': 0.19078235561879184}",25,8,-35.008548285803606,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
84,False,"{'a': 0.1, 'e': 0.186966708506416}",20,9,8.405772245408379,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.1, 'e': 0.18322737433628766}",20,5,-8.281914158597976,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
86,False,"{'a': 0.1, 'e': 0.1795628268495619}",25,3,34.963813922246345,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.1, 'e': 0.17597157031257066}",20,7,3.1224476763847973,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
88,False,"{'a': 0.1, 'e': 0.17245213890631925}",25,13,21.13378468519437,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.1, 'e': 0.16900309612819286}",20,3,4.90979487320006,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
