trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 1.0}",20,0,-200.1481518736034,"{0: 7, 1: 4, 2: 5, 3: 1, 4: 3}",0
2,False,"{'a': 0.79, 'e': 0.9753099120283326}",20,0,-52.145316094995174,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.78, 'e': 0.951229424500714}",20,0,-153.45814944595327,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
4,False,"{'a': 0.77, 'e': 0.9277434863285529}",35,0,-117.26256464870477,"{0: 27, 1: 1, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.76, 'e': 0.9048374180359595}",20,0,-82.228256257517,"{0: 9, 1: 6, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.75, 'e': 0.8824969025845955}",25,0,-174.73215292674968,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
7,False,"{'a': 0.74, 'e': 0.8607079764250578}",20,0,-113.80638777610024,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.73, 'e': 0.8394570207692074}",20,0,-76.24754588920912,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.7200000000000001, 'e': 0.8187307530779818}",25,0,-95.15204906386525,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.7100000000000001, 'e': 0.7985162187593771}",20,0,-37.90147205539839,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
11,False,"{'a': 0.7000000000000001, 'e': 0.7788007830714049}",20,0,-111.41498721316638,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.6900000000000001, 'e': 0.7595721232249685}",20,0,-52.04069467259119,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.68, 'e': 0.7408182206817179}",30,0,-122.05272023977106,"{0: 20, 1: 5, 2: 2, 3: 1, 4: 2}",0
14,False,"{'a': 0.67, 'e': 0.7225273536420722}",25,0,-70.71187297642192,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.66, 'e': 0.7046880897187134}",30,19,5.084627061865783,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.65, 'e': 0.6872892787909722}",20,8,-34.841129622653646,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.64, 'e': 0.6703200460356393}",20,0,-75.15877124196764,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.63, 'e': 0.6537697851298473}",20,13,-55.16725834915546,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 1}",1
19,False,"{'a': 0.6200000000000001, 'e': 0.6376281516217733}",30,22,-7.423079200653364,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.6100000000000001, 'e': 0.62188505646502}",25,15,-14.498222740832128,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
21,False,"{'a': 0.6000000000000001, 'e': 0.6065306597126334}",30,0,-19.30534184921124,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
22,False,"{'a': 0.5900000000000001, 'e': 0.5915553643668151}",35,2,-149.2714335729249,"{0: 21, 1: 2, 2: 7, 3: 1, 4: 2}",1
23,False,"{'a': 0.5800000000000001, 'e': 0.5769498103804866}",25,0,-81.60062391790466,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
24,False,"{'a': 0.5700000000000001, 'e': 0.5627048688069557}",20,0,-189.1297695743288,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 4}",0
25,False,"{'a': 0.56, 'e': 0.5488116360940264}",20,16,5.984671720138563,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.55, 'e': 0.5352614285189903}",30,0,-43.34259588477215,"{0: 21, 1: 4, 2: 5, 3: 0, 4: 0}",0
27,False,"{'a': 0.54, 'e': 0.522045776761016}",20,0,-44.449731308083,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
28,False,"{'a': 0.53, 'e': 0.5091564206075492}",20,10,10.346860346848446,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.52, 'e': 0.49658530379140947}",20,6,-16.58582818439136,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
30,False,"{'a': 0.51, 'e': 0.4843245689553624}",25,0,-65.76166676702682,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.4723665527410147}",20,4,2.14617079600023,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
32,False,"{'a': 0.49000000000000005, 'e': 0.4607037809989658}",25,16,2.993075546608458,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
33,False,"{'a': 0.48000000000000004, 'e': 0.44932896411722156}",20,0,-27.184455821397552,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
34,False,"{'a': 0.47000000000000003, 'e': 0.4382349924649492}",25,0,-150.92620588888167,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
35,False,"{'a': 0.46, 'e': 0.42741493194872665}",25,17,-3.6883451540030134,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
36,False,"{'a': 0.45, 'e': 0.4168620196785084}",25,13,-2.1569358032911916,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
37,False,"{'a': 0.44000000000000006, 'e': 0.4065696597405991}",20,1,-26.40968448056459,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
38,False,"{'a': 0.43000000000000005, 'e': 0.39653141907499284}",35,20,21.089697360686863,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.42000000000000004, 'e': 0.3867410234545012}",20,15,-11.499100964801816,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
40,False,"{'a': 0.41000000000000003, 'e': 0.3771923535631569}",25,2,-31.291660051075855,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 1}",1
41,False,"{'a': 0.4, 'e': 0.36787944117144233}",20,3,-37.18469717970433,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
42,False,"{'a': 0.39, 'e': 0.35879646540595156}",30,11,-14.04055906517188,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 0}",1
43,False,"{'a': 0.38000000000000006, 'e': 0.3499377491111553}",30,12,6.384573635848556,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
44,False,"{'a': 0.37000000000000005, 'e': 0.3412977553009937}",25,20,8.464798428791081,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.36000000000000004, 'e': 0.33287108369807955}",25,16,13.466464868877646,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.35000000000000003, 'e': 0.32465246735834974}",25,19,0.9682338960275412,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.34, 'e': 0.31663676937905316}",25,14,17.903779769244405,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.33, 'e': 0.30881897968801986}",25,5,36.383640523127454,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.32000000000000006, 'e': 0.301194211912202}",25,0,24.259264690324127,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
50,False,"{'a': 0.31000000000000005, 'e': 0.29375770032353277}",20,10,-15.222744610164911,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
51,False,"{'a': 0.30000000000000004, 'e': 0.2865047968601901}",30,0,-194.19720626320566,"{0: 21, 1: 0, 2: 3, 3: 2, 4: 4}",0
52,False,"{'a': 0.29000000000000004, 'e': 0.2794309682214073}",20,5,-20.197243658911436,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
53,False,"{'a': 0.28, 'e': 0.2725317930340126}",35,22,12.013054221919154,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.27, 'e': 0.26580295908892654}",20,7,21.19781416602396,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.26, 'e': 0.2592402606458915}",20,12,13.626817221309526,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.25, 'e': 0.25283959580474646}",25,14,19.92746843017633,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.24, 'e': 0.24659696394160643}",20,6,-30.02404209887415,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
58,False,"{'a': 0.22999999999999998, 'e': 0.24050846320834213}",25,7,21.58062000195593,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.22000000000000008, 'e': 0.23457028809379762}",30,6,12.975016316592182,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 0}",1
60,False,"{'a': 0.21000000000000008, 'e': 0.22877872704522242}",25,16,17.50335301620759,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.20000000000000007, 'e': 0.22313016014842982}",25,10,-38.53957065980398,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",1
