trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-174.40504776610732,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-156.9544932366546,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-133.18102029656833,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-53.77223889283261,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-140.8591029176578,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-149.82878336395623,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.42855013198101,"{0: 11, 1: 7, 2: 6, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-135.4434007533281,"{0: 18, 1: 1, 2: 9, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.97929620054846,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.70920831064558,"{0: 13, 1: 2, 2: 2, 3: 3, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-123.7765491060233,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,10,-28.931581878140264,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.59632679616685,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.8275423378025,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-35.306590475175625,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-140.55705144856907,"{0: 7, 1: 5, 2: 6, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-39.87105556050978,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-141.22473560986978,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-71.38575808207445,"{0: 15, 1: 1, 2: 9, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,17,1.345980963178072,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-96.6197029795785,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-137.97680807611317,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-183.056193109388,"{0: 12, 1: 4, 2: 6, 3: 0, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",35,0,-238.81484529718892,"{0: 15, 1: 7, 2: 8, 3: 3, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-115.18665099540884,"{0: 8, 1: 5, 2: 6, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-85.96769742227168,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-134.47575561397684,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-174.2478857827064,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-252.0874072288789,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 5}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,18,-18.90578825989374,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 0}",1
